ID del canal,Título del canal,categoria,logo_url
UC_d_dGoi2ztmAgiDwRh3uJw,Sanctuary AI,Robótica y espacio,https://yt3.ggpht.com/JZSHdVdV-LV-jWcDBq3-mPNaSbgIZBAXJixiIxlK6rjNeUvK36oNOFFvr5FSj9grAThQFpwV_nk=s240-c-k-c0x00ffffff-no-rj
UC_eVxIPHFZm7oF_gET0x-8Q,Google Antigravity,Google,https://yt3.ggpht.com/DPN3tRSVASpg88kzWPMlCM7_SKmCd7dbUn0JfJQZbpTUhoqYOxs5AXtD3wyjGsAnO2JJzHqO=s240-c-k-c0x00ffffff-no-rj
UC_feiEl6JCoQyG92eDoFb6A,Universidad del Rosario,Universidades y academia,https://yt3.ggpht.com/qp_zT6N3GUpDmouKeLkKAA8vnz8qU1PIJALGD5jLIzt_qbrPGx6u8XdTjhdLNwc4Ysw2S5Zr6qY=s240-c-k-c0x00ffffff-no-rj
UC_fyAp919RnkKmBrMXGwnUQ,Google Career Certificates,Google,https://yt3.ggpht.com/2wrZdGoZcp6JeGIxiNO6lLfHjPgF8uTkUM1dURclf44qhuNouF6q8GPRuEpD2Ez0BmiLfL7cTg=s240-c-k-c0x00ffffff-no-rj
UC_gMaZjRhc5xrVrLv4_Ymfw,VAST Data,Infraestructura cloud / software empresarial,https://yt3.ggpht.com/Jzjc9gqIdCLatDoKQBjjAipE_2vXIAd9Yoi4SLz5fXi3-1iasPUDdOlI5Ou2zyobj4SSN420xw=s240-c-k-c0x00ffffff-no-rj
UC_gUM8rL-Lrg6O3adPW9K1g,WION,Noticias y medios (internacionales),https://yt3.ggpht.com/evxeFzRem76hjPRh_S_B5MvjNhl4yKjSrIzmvwFx3nyEWHBOPHA4jTum6Yys3HRR0IvYmWud=s240-c-k-c0x00ffffff-no-rj
UC_hG9fglfmShkwex1KVydHA,Sarthaksavvy,Inteligencia artificial / ML / Data Science,https://yt3.ggpht.com/opfYFRnjqLaPCimjuoAessQAK5UWgvLvrymMPmg4nr1ST1ufkLOtKw3HIIqfSE0ftDlN6iIvXw=s240-c-k-c0x00ffffff-no-rj
UC_i4x_idjUirx3n4Fw0fQxw,Python Colombia,Programación y desarrollo de software,https://yt3.ggpht.com/H1YRRBO2ytacoRnp5QjPhsTz4O2qZHNQ1uKoNzjMjVwwgy9kq4scfYyhmTT5YoCHNzRShRAMYHU=s240-c-k-c0x00ffffff-no-rj
UC_kdjhHnkUbSImMrezjRyDQ,Olympics Gymnastics,Deportes y actividad física competitiva,https://yt3.ggpht.com/SFkid9qWwffzcGNM3RvaD1Sj-JQuq-7kgRBmRvLbdQ1BUi1Z5stc-jjn0HWyt3RB-hTal9gELA=s240-c-k-c0x00ffffff-no-rj
UC_lEiu6917IJz03TnntWUaQ,CNN en Español,Noticias y medios (internacionales),https://yt3.ggpht.com/qJilPlEd7fVYRubTX0mCPq1zIi9ackBZX3klGEXycg4juHDFAsV7Xc2D_pY43Jii-vUM-d7Ycw=s240-c-k-c0x00ffffff-no-rj
UC_lXwMORwPrkYaJXvB_j_gg,Telemundo English,Sin clasificar (requiere revisión manual),https://yt3.ggpht.com/uUcNnhGzOrNGTMX_3EkbBdBsntMMIbx0Nf8AIF_KexolBXcPQ8gZpsijAQzkCYTvQGbMpItLLA=s240-c-k-c0x00ffffff-no-rj
